node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority,prev,next
ppe 612 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.10683726893500001,0.0,-1.6514217823600002e-18,0,0
re 140370 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887322,0.0,0.055488183183,0,0
re 140370 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887322,0.0,0.055488183183,0,0
re 265185 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873365,0.0,0.055488183183,0,0
re 445964 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873226,0.0,0.055488183183,0,0
re 589919 stf,0,9,0.169811320755,0.0,0.0,2.44470582667e-10,0.13779220237,0.0,0,0
re 596682 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.15403753769300002,0.0,0.0192725978017,0,0
resp 578585 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.11777071592,0.0,-2.10565115274e-21,0,0
resp 78334 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.11777071636,0.0,-3.00209101089e-20,0,0
rhc 115997 stf,0,5,0.09433962264149999,0.0,0.0,3.2758518120300003e-10,0.0,0.0,0,0
sum. 279 stf,3,0,0.056603773584900006,0.0,0.056603773584900006,0.382346769405,0.0,0.0867085419434,1,0
sum. 279 stf,3,0,0.056603773584900006,0.0,0.056603773584900006,0.382346769405,0.0,0.0867085419434,1,0
sum. 279 stf,3,0,0.056603773584900006,0.0,0.056603773584900006,0.382346769405,0.0,0.0867085419434,1,0
sum. 279 stf,3,0,0.056603773584900006,0.0,0.056603773584900006,0.382346769405,0.0,0.0867085419434,1,0
sum. 279 stf,3,0,0.056603773584900006,0.0,0.056603773584900006,0.382346769405,0.0,0.0867085419434,1,0
sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847,1,0
sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847,1,0
sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847,1,0
sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847,1,0
sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847,1,0
sum. 356 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411051,0.0,0.0747607809847,1,0
sum. 356 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411051,0.0,0.0747607809847,1,0
sum. 356 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411051,0.0,0.0747607809847,1,0
sum. 356 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411051,0.0,0.0747607809847,1,0
sum. 421 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268486,0.0,-2.1997851114399998e-17,0,0
sum. 636 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873265,0.0,0.055488183183,0,0
sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0,1,1
sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0,1,1
sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0,1,1
sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0,1,1
sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0,1,1
sum. 696 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.15436593615900002,0.0,0.0,0,0
sum. 7 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.154037537822,0.0,0.0192725978017,0,0
sum. 7 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.154037537822,0.0,0.0192725978017,0,0
ai 622001 stf,0,7,0.145833333333,0.0,0.0,1.4771728285e-10,0.291502622129,0.0,0,0
ai 622001 stf,0,7,0.145833333333,0.0,0.0,1.4771728285e-10,0.291502622129,0.0,0,0
ai 622527 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492843991,-0.0,0.041643231732699994,0,1
ai 622527 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492843991,-0.0,0.041643231732699994,0,1
ai 622527 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492843991,-0.0,0.041643231732699994,0,1
ai 649191 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.17649284409000002,-0.0,0.041643231732699994,0,1
ai 649191 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.17649284409000002,-0.0,0.041643231732699994,0,1
ai 649191 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.17649284409000002,-0.0,0.041643231732699994,0,1
ai 703803 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0919011817306,-0.0,0.0253034777811,0,0
ai 705593 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.20750354493,-0.0,0.0506069555622,0,0
ai 713692 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.207503544671,-0.0,0.0506069555622,0,0
ai 718993 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.207503544798,-0.0,0.0506069555622,0,0
ai 741535 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0919011817618,-0.0,0.0253034777811,0,0
ai 744686 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.207503544746,-0.0,0.0506069555622,0,0
ai 746303 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.207503545187,-0.0,0.0506069555622,0,0
ai 838930 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.20750354491700002,-0.0,0.0506069555622,0,0
are 727723 stf,0,6,0.125,0.0,0.0,7.637866727970001e-11,0.17712434446800002,0.0,0,0
